final_value,max_drawdown,max_win_streak,max_loss_streak
1002164.3814360122,0.36076819798919024,6,6
1002423.0958903492,0.19770169783946573,8,5
997313.5331094689,1.8951465038495006,5,9
990214.7556330948,3.253419829324304,5,10
1002923.77351835,0.10874400824177942,4,4
1004059.0943761342,0.10854787930367289,7,4
1002625.573402599,0.1976545869732848,6,5
1002306.4245409362,0.19769270172335504,4,5
1002432.935516542,0.19757565716738046,5,5
1003222.1078362907,0.10874477302295117,6,4
1003188.021065559,0.20309741550554164,5,5
996717.4524507065,0.6419685670902484,6,7
1001910.6749317977,0.19805966707109476,8,5
1001835.951245662,0.13361624676446812,4,4
1002744.7504361095,0.35098998097383316,5,6
1003132.7099604544,0.3516318126495739,9,6
1002623.5745604769,0.10876561535275789,6,4
1002879.3584544545,0.1138637847419206,5,4
1001639.9348227405,0.3515250285325311,8,6
1003746.0146420957,0.10867414372121428,7,4
1000052.1507230062,0.6186424522717262,6,7
1000704.629296751,0.3673590356221777,5,6
1004299.9950973091,0.19755052809796433,8,5
994204.28917147,3.2520657993778554,6,10
997829.2770313027,1.8752070646687091,7,9
1004327.1672893842,0.1086225730668033,7,4
1000214.0075084396,1.0769624766845278,5,8
1003231.4064776548,0.10879018462705196,6,4
1002554.5352907615,0.6165067790797965,5,7
1001339.2471056818,0.352287674084159,5,6
992332.0128433759,3.2529185483007037,7,10
1002267.1094143426,0.19786278427448442,4,5
1002209.1117086019,0.24183827584173997,5,5
1000180.3420401519,0.6176823072705537,8,7
1000714.6089800721,0.6252967693315535,6,7
1000209.4458907532,0.6399536678799069,5,7
999705.1934970572,1.0871154802764642,7,8
1001604.9873668067,0.21755762932839126,6,5
996855.616434802,1.0848655435862264,7,8
1003397.3197069231,0.19774497787353332,6,5
1000025.6561492588,0.41989950984756463,6,6
1001444.7245102089,0.35211629399323313,6,6
1002290.6194179342,0.19768253018646212,7,5
994233.78985267,3.247925120266573,7,10
1001894.3427437567,0.3594917566619358,7,6
975146.4635128034,9.753352396851989,6,12
1002438.7296696005,0.21892653524843692,5,5
1002118.4598660693,0.19795074072973193,8,5
1000087.4359063545,1.077414210927233,5,8
1000427.5611455673,0.22020375857725494,7,5
1003115.9580127036,0.1086313870378253,5,4
1002842.3265277117,0.19751817182593706,5,5
1003199.0972197866,0.10853831260010607,6,4
999122.1497092469,1.1033358445657258,5,8
1002407.923414393,0.6188432376847646,7,7
1002850.269162161,0.10880106364551466,5,4
1002845.0937828554,0.20354523172160685,6,5
995632.1339335282,1.2535794374625158,8,8
1000592.4102479145,0.35213709033213275,3,6
1002902.888401519,0.1978074731780675,7,5
1001704.5292374145,0.20730374348470432,4,5
998664.7609621291,0.6741351865708324,6,7
999975.3974800308,0.3522446163899692,5,6
1000254.2756141945,0.6184600580870061,4,7
1002715.8772514331,0.6185804046633492,6,7
1000547.0242513189,0.6173448492518193,5,7
997267.1589353745,1.1379049330587847,4,8
1001488.7546857873,0.20333434271317574,5,5
1002027.1260316889,0.12820794659452964,5,4
1001411.7581650754,0.3522611444660023,5,6
1001263.4865665017,0.3535441242139329,4,6
1002007.972943197,0.3657556376557474,7,6
1003035.7174949956,0.19762733096672555,8,5
1000719.0996406579,0.3811267504941698,6,6
1000505.3081807129,0.35177636155778846,4,6
1000231.0950504595,0.3520319774156817,7,6
1000140.3092052242,0.6186530248903921,4,7
1002331.4150908787,0.35221928279352027,7,6
1003016.7370198311,0.1139637984373228,7,4
1003779.8829939556,0.10876051258543043,6,4
999780.7185905732,0.19996069200100053,4,5
999225.359664363,1.1144081319267578,5,8
996760.2862106545,1.8737494060835895,5,9
1003236.2986239868,0.19803986308478627,5,5
1002708.4623050557,0.11423972451537401,5,4
1001101.0211722199,0.39781293369436704,6,6
993469.2020643522,3.257437863236625,5,10
1000948.6957508038,0.6182638477736593,5,7
1000728.5795182463,0.6178111039316622,6,7
1000240.909233226,0.38160498477563043,4,6
998616.3563456177,1.872434488013724,7,9
999968.148034208,0.3513550178417222,4,6
996786.1201271366,1.8762324464541194,5,9
1002008.77249106,0.3516427721877543,5,6
1002036.6047784123,0.19805966707109476,7,5
1003202.1093943915,0.1975714514699426,7,5
1002111.5769385241,0.2316198078454261,5,5
999278.7492316251,0.6519893838793288,6,7
1001603.080796865,0.3520096881407449,5,6
1000639.9576976955,0.6236613033312821,5,7
996178.4918078955,1.8762439536718547,5,9
1002859.9663277562,0.19742299663320717,5,5
998234.4609311603,1.108299803240616,5,8
993823.0493971127,3.252211398970295,4,10
1002448.4238271837,0.351535287730057,5,6
995380.3835569022,1.8759568688605515,9,9
1001385.5496790541,0.6182002749481768,5,7
1003237.419049585,0.10874467498527107,8,4
1001596.3763786722,0.3766549366691212,10,6
1002614.5967968481,0.10879313836250733,5,4
1002145.4452903841,0.19790304876025921,4,5
1001635.4246914829,0.42170987109178504,7,6
996339.5128908318,1.8784872713056264,6,9
1003295.7146513432,0.19769920404259134,7,5
999356.2383106287,1.078617374628628,10,8
1004555.08477553,0.06268165215463378,9,3
1005336.8791782891,0.057071282189569084,8,3
1001385.6293605878,0.35200945705712927,3,6
1000564.0305031724,0.4012093835344852,5,6
1001002.0747343848,1.0787335916360603,7,8
1001885.085423917,0.19762549236290128,5,5
1002717.3834153654,0.3520195546783558,7,6
1000609.7357327507,0.3517821435952993,5,6
1003383.7706746976,0.10880106364551466,7,4
999200.8064630238,1.1219036548803367,5,8
1002549.0268167006,0.21022051861078958,5,5
998329.6141844284,1.0799441628670203,7,8
1001811.5140491342,0.11412151476482627,4,4
1000474.5689440992,0.6181173226589713,5,7
1001841.4026266634,0.35185203363350154,4,6
1002257.0719438095,0.19796630436983084,5,5
992047.8918280198,1.0768779323016069,6,8
1001262.8708007608,0.19907837786649543,5,5
1003496.0508608732,0.1973263634020891,7,5
1002179.6080193899,0.1975674318465506,6,5
991548.3836404332,2.340987460032994,5,9
1001240.5617572761,0.35178177486182544,4,6
1001317.0319716658,0.10872635682745956,4,4
1002605.227582375,0.19762493262083197,5,5
1001786.829216835,0.6186737142437292,4,7
1002668.6838401291,0.19746599150586214,7,5
1002541.9944473857,0.10870953240547819,4,4
904211.837165785,9.731744749706198,4,12
1001512.2803933219,0.6185958665264,5,7
1001664.9845231543,0.1979763235959613,5,5
1001024.8698486977,0.2171273919551865,8,5
1003672.2653664455,0.10865548271982794,6,4
1001485.0441023926,0.3522295970826361,4,6
1002242.0750457235,0.3521742007625283,7,6
1001489.3358147785,0.19795206936965254,5,5
1003785.0088909541,0.108717543500381,7,4
1001479.5708270695,0.35170945682819604,5,6
1001752.485918107,0.19758828137842713,5,5
1001129.3844512744,0.6189494261676849,7,7
1001547.3105388014,0.2509721391858991,9,5
1003559.2009642017,0.10879313836250733,7,4
1002615.4988035746,0.10876574998439925,4,4
1000798.8528111852,0.38079023240848386,5,6
1000154.3975340567,0.6189305569160115,6,7
1001350.681904654,0.19800564177250563,3,5
1000289.1372628497,0.6382879971972905,6,7
997550.3435609825,0.7275897066922474,3,7
1000778.9030480732,0.433338465305223,7,6
1003637.8312173891,0.0679507466037863,9,3
998789.0868651039,1.0796002650480017,6,8
1001938.836257668,0.21740547751208528,6,5
1003001.5282654003,0.1976637122611617,7,5
998112.0273144434,1.0825771368100456,7,8
1002884.0961924966,0.3513206942197478,6,6
1001022.3062891159,0.1979425476272952,4,5
1001570.4735362165,0.6178252859997396,8,7
1004079.1952768969,0.0570852857416974,6,3
999079.8988771822,1.1039698172685797,3,8
1000832.9482589699,0.3645620024988638,6,6
1002541.312690181,0.19791485536980882,7,5
1003174.4873651282,0.05715674155419335,5,3
1001880.8202121207,0.37822718157826224,6,6
1001865.0145782589,0.10879824419180319,8,4
1003153.6715464192,0.3521581166654595,7,6
1002311.0346339052,0.351754584287325,8,6
1002562.5493483366,0.19787345274121548,4,5
863616.4704793221,50.39477977281557,3,15
1000707.6148731413,0.4087372488583829,4,6
1001486.2823186491,0.3636449751785421,9,6
1003115.4187160966,0.19776691237077543,5,5
1000052.4206283068,1.078055813789465,9,8
997368.6987459639,1.8723348293978086,8,9
1001581.7936292721,0.10870859711147585,4,4
998754.6924220623,0.6182465519994162,6,7
1003652.7302628793,0.10859246169114924,12,4
998956.2976173178,1.0782591387955243,4,8
1003907.035725032,0.1086720946007972,5,4
995748.1902590422,1.8752474120193425,5,9
1002795.5003616754,0.19778448006632032,7,5
993740.1457713462,3.252295640904621,5,10
1001316.1680740638,0.6500113744840499,7,7
1001258.8128390415,0.35205621928134,6,6
1003091.506092866,0.19763664963038738,4,5
1001414.3834239844,0.6179638432682523,8,7
999838.4481325077,0.3520027716473565,3,6
1000901.2425991036,0.351796602177764,4,6
1001132.7823642134,0.35172685049517893,5,6
1000290.5110778159,0.3513483518375585,7,6
1002835.3812854656,0.1978537524258211,5,5
1002556.4036539535,0.10874400824177942,4,4
1000816.2746621313,0.6391989829868784,9,7
1001600.3364166763,0.6182783310013433,6,7
1001812.4417529302,0.3522549321628837,4,6
995762.656021304,1.9203448978470445,4,9
993940.5120359807,3.2452993720856345,6,10
1000630.2457111654,0.6171560166742524,6,7
1002979.3023758242,0.35133830484270695,7,6
1001860.1948356859,0.19790720513194554,5,5
986698.5121352102,5.631577381529473,5,11
1002375.9239365847,0.35214723131134984,5,6
1003659.7514633995,0.06248180053239396,7,3
1001590.253559244,0.6182277001039479,6,7
1003397.8590035301,0.10858559767971834,7,4
999724.0959852034,0.6281314936144223,5,7
1001700.2528568234,0.3522259298285172,4,6
999631.3264307488,1.078666730151858,5,8
1004115.2038517399,0.10836124707825706,6,4
997937.2165139398,1.1696260453401082,4,8
996947.7834764032,1.8754174085451139,6,9
1001881.2130749698,0.19777080257051358,6,5
999919.2266162012,0.6449514056704229,6,7
1001238.3757287487,0.3521669443263351,4,6
1001150.6405831296,0.40807802659924886,6,6
1001376.58102385,0.3522285258605204,5,6
996901.820201451,1.1296298510255003,7,8
1001655.3484948983,0.3518706536487241,5,6
999989.3964764193,1.0779688206214277,6,8
991225.790465798,3.316454242036963,11,10
1001807.3831371528,0.19805079587465702,6,5
1002795.5044270502,0.3566177204688197,12,6
1003324.10972788,0.1087691678352134,12,4
978094.8064691614,5.629098447931362,5,11
1001273.5429233445,0.35203335558297266,5,6
1003142.6668664457,0.13133146610848812,6,4
1003129.2467936731,0.20352488275059585,7,5
1002996.7232461371,0.19754062629156965,5,5
998505.820529218,1.0950073699748726,7,8
1001836.023649421,0.2143999524838513,5,5
